count,site,yr,vegPeriod
5,site40,2013,237.67625
11,site40,1999,237.67625
8,site40,2008,237.67625
3,site40,2015,237.67625
6,site40,2011,237.67625
5,site40,2009,237.67625
6,site40,1997,237.67625
6,site40,1996,237.67625
10,site40,2010,237.67625
0,site41,2004,235.29
4,site41,2011,235.29
0,site41,2002,235.29
2,site41,2016,235.29
2,site41,2012,235.29
2,site41,2010,235.29
3,site41,2017,235.29
2,site41,2008,235.29
1,site41,2015,235.29
3,site41,2007,235.29
3,site41,2005,235.29
2,site41,2013,235.29
3,site41,2014,235.29
1,site41,2006,235.29
2,site41,2009,235.29
0,site42,2017,251.5075
1,site42,2002,251.5075
0,site42,2001,251.5075
1,site42,2006,251.5075
0,site42,2007,251.5075
7,site42,2003,251.5075
1,site42,2008,251.5075
0,site42,2014,251.5075
0,site42,2016,251.5075
0,site42,2012,251.5075
0,site42,2015,251.5075
0,site42,2010,251.5075
1,site42,2004,251.5075
2,site42,2009,251.5075
0,site42,2013,251.5075
5,site43,2015,240.58
1,site43,2006,240.58
4,site43,2017,240.58
0,site43,2000,240.58
0,site43,2014,240.58
4,site43,2010,240.58
2,site43,1997,240.58
1,site43,1998,240.58
1,site43,2012,240.58
0,site43,2002,240.58
1,site43,2003,240.58
0,site43,2008,240.58
1,site43,2001,240.58
1,site43,2011,240.58
2,site43,1999,240.58
3,site44,2016,229.28
4,site44,2002,229.28
2,site44,2009,229.28
2,site44,2012,229.28
2,site44,2007,229.28
2,site44,2014,229.28
3,site44,2013,229.28
2,site44,2008,229.28
2,site44,2003,229.28
4,site44,2010,229.28
4,site44,2004,229.28
5,site44,2017,229.28
3,site44,2006,229.28
1,site44,2011,229.28
0,site44,2001,229.28
2,site44,2015,229.28
1,site44,2005,229.28
1,site44,2000,229.28
0,site45,2005,236.93625
0,site45,2004,236.93625
0,site45,2014,236.93625
0,site45,2006,236.93625
0,site45,2002,236.93625
1,site45,2007,236.93625
0,site45,2012,236.93625
0,site45,2015,236.93625
2,site45,2016,236.93625
0,site45,2013,236.93625
1,site45,2017,236.93625
0,site45,2008,236.93625
0,site45,2009,236.93625
0,site45,2003,236.93625
4,site46,2017,228.065
2,site46,1998,228.065
1,site46,2009,228.065
2,site46,2003,228.065
1,site46,2006,228.065
1,site46,2005,228.065
0,site46,2002,228.065
2,site46,2004,228.065
1,site46,2015,228.065
1,site46,2016,228.065
2,site46,2008,228.065
1,site46,2000,228.065
1,site46,2014,228.065
1,site46,2007,228.065
1,site46,2001,228.065
2,site46,2011,228.065
2,site47,2015,225.31375
0,site47,2007,225.31375
3,site47,2004,225.31375
0,site47,2008,225.31375
2,site47,2017,225.31375
0,site47,2013,225.31375
0,site47,2010,225.31375
1,site47,2012,225.31375
0,site47,2003,225.31375
2,site47,2014,225.31375
0,site47,2006,225.31375
3,site47,2016,225.31375
1,site48,2007,223.26
0,site48,2010,223.26
0,site48,2009,223.26
0,site48,1999,223.26
3,site48,2012,223.26
0,site48,2006,223.26
1,site48,2016,223.26
0,site48,2000,223.26
0,site48,2011,223.26
4,site48,2013,223.26
7,site48,2017,223.26
0,site48,2005,223.26
1,site48,2014,223.26
3,site48,2015,223.26
0,site48,2001,223.26
0,site48,2008,223.26
0,site48,2004,223.26
2,site49,2015,222.5775
6,site49,2011,222.5775
3,site49,2014,222.5775
3,site49,2012,222.5775
2,site49,2006,222.5775
2,site49,2004,222.5775
0,site49,2016,222.5775
4,site49,2008,222.5775
1,site49,2013,222.5775
4,site49,2017,222.5775
0,site49,2003,222.5775
1,site49,2002,222.5775
1,site49,2007,222.5775
1,site49,2010,222.5775
4,site49,2009,222.5775
1,site50,2002,219.075
2,site50,2011,219.075
2,site50,2001,219.075
1,site50,1999,219.075
1,site50,2007,219.075
2,site50,2010,219.075
1,site50,2008,219.075
3,site50,2012,219.075
1,site50,2016,219.075
0,site50,2014,219.075
0,site50,2005,219.075
0,site50,2004,219.075
3,site50,2000,219.075
0,site50,2015,219.075
1,site50,2009,219.075
0,site50,2003,219.075
0,site50,2013,219.075
0,site50,2006,219.075
1,site51,1998,222.67
2,site51,2014,222.67
3,site51,1997,222.67
5,site51,1999,222.67
1,site51,2010,222.67
0,site51,2006,222.67
0,site51,2007,222.67
2,site51,2000,222.67
1,site51,2001,222.67
1,site51,1996,222.67
3,site51,2005,222.67
4,site51,2003,222.67
3,site51,2016,222.67
2,site51,2012,222.67
2,site51,2009,222.67
0,site51,2008,222.67
1,site51,2013,222.67
2,site51,2004,222.67
3,site51,2017,222.67
4,site51,2015,222.67
3,site51,2011,222.67
4,site51,2002,222.67
2,site52,2005,223.84125
1,site52,2009,223.84125
0,site52,2016,223.84125
1,site52,2006,223.84125
1,site52,2010,223.84125
1,site52,2015,223.84125
0,site52,2017,223.84125
0,site52,2007,223.84125
0,site52,2011,223.84125
0,site52,2008,223.84125
3,site52,2013,223.84125
3,site52,2012,223.84125
0,site52,2014,223.84125
0,site52,2004,223.84125
0,site52,2003,223.84125
2,site53,2005,218.96625
0,site53,2007,218.96625
4,site53,2012,218.96625
3,site53,2013,218.96625
4,site53,2017,218.96625
1,site53,2010,218.96625
3,site53,2014,218.96625
0,site53,2016,218.96625
1,site53,2006,218.96625
1,site53,2008,218.96625
2,site53,2015,218.96625
5,site53,2004,218.96625
0,site54,2010,215.2775
0,site54,2007,215.2775
4,site54,2013,215.2775
4,site54,2003,215.2775
0,site54,2011,215.2775
1,site54,2004,215.2775
0,site54,2014,215.2775
3,site54,2016,215.2775
5,site54,2012,215.2775
1,site54,2015,215.2775
1,site54,2009,215.2775
0,site54,2008,215.2775
0,site54,2006,215.2775
1,site54,2017,215.2775
7,site55,2012,218.25125
6,site55,2005,218.25125
2,site55,2011,218.25125
2,site55,2009,218.25125
5,site55,2006,218.25125
2,site55,2007,218.25125
7,site55,2010,218.25125
5,site55,2013,218.25125
4,site55,2008,218.25125
7,site55,2004,218.25125
5,site55,2015,218.25125
1,site55,2003,218.25125
4,site56,2009,220.16
1,site56,2007,220.16
3,site56,2008,220.16
3,site56,2010,220.16
5,site56,2012,220.16
3,site56,2015,220.16
1,site56,2014,220.16
2,site56,2006,220.16
4,site56,2016,220.16
4,site56,2011,220.16
4,site56,2004,220.16
7,site56,2003,220.16
4,site56,2017,220.16
3,site56,2013,220.16
3,site56,2005,220.16
4,site56,2002,220.16
3,site56,1999,220.16
1,site57,2016,216.19875
1,site57,2005,216.19875
2,site57,2002,216.19875
0,site57,2009,216.19875
2,site57,2004,216.19875
0,site57,2013,216.19875
1,site57,2014,216.19875
1,site57,2012,216.19875
2,site57,2015,216.19875
1,site57,2010,216.19875
1,site57,2007,216.19875
0,site57,2006,216.19875
3,site57,2017,216.19875
3,site57,2008,216.19875
1,site57,2011,216.19875
2,site58,2011,219.95125
2,site58,2006,219.95125
3,site58,2015,219.95125
1,site58,2010,219.95125
0,site58,2002,219.95125
2,site58,2004,219.95125
2,site58,2016,219.95125
1,site58,2009,219.95125
1,site58,2005,219.95125
0,site58,2007,219.95125
1,site58,2003,219.95125
2,site58,2012,219.95125
2,site58,2014,219.95125
1,site58,2013,219.95125
1,site58,2008,219.95125
1,site59,2012,229.13
3,site59,2007,229.13
4,site59,2016,229.13
1,site59,2005,229.13
2,site59,2001,229.13
2,site59,2004,229.13
3,site59,1999,229.13
6,site59,2009,229.13
5,site59,2013,229.13
3,site59,2008,229.13
4,site59,2003,229.13
1,site59,2017,229.13
4,site59,2006,229.13
2,site59,2015,229.13
3,site59,2002,229.13
4,site59,2000,229.13
4,site60,1999,236.31125
5,site60,2009,236.31125
1,site60,2015,236.31125
6,site60,2012,236.31125
3,site60,2006,236.31125
2,site60,2011,236.31125
1,site60,2004,236.31125
4,site60,2016,236.31125
9,site60,2014,236.31125
4,site60,2005,236.31125
3,site60,2010,236.31125
1,site60,2017,236.31125
6,site60,2002,236.31125
6,site60,2007,236.31125
5,site60,2008,236.31125
6,site60,2003,236.31125
5,site61,2011,230.64875
3,site61,2006,230.64875
5,site61,2003,230.64875
2,site61,2004,230.64875
4,site61,2005,230.64875
7,site61,2002,230.64875
7,site61,2012,230.64875
6,site61,2000,230.64875
2,site61,2015,230.64875
8,site61,1999,230.64875
3,site61,2007,230.64875
8,site61,2017,230.64875
2,site61,2001,230.64875
6,site61,2008,230.64875
3,site61,2016,230.64875
6,site61,2014,230.64875
7,site61,2010,230.64875
9,site61,2009,230.64875
6,site62,2003,236.82
4,site62,2010,236.82
4,site62,2002,236.82
3,site62,2011,236.82
9,site62,2004,236.82
5,site62,2009,236.82
5,site62,2012,236.82
6,site62,2014,236.82
6,site62,2016,236.82
6,site62,2008,236.82
4,site62,2005,236.82
4,site62,2007,236.82
5,site62,2006,236.82
3,site63,2008,239.5925
12,site63,1996,239.5925
1,site63,2010,239.5925
8,site63,2005,239.5925
6,site63,2004,239.5925
12,site63,2003,239.5925
6,site63,2009,239.5925
7,site63,2016,239.5925
7,site63,2001,239.5925
5,site63,2014,239.5925
5,site63,2006,239.5925
6,site63,2013,239.5925
3,site63,2012,239.5925
8,site63,2017,239.5925
7,site63,2002,239.5925
8,site63,2015,239.5925
7,site63,2011,239.5925
6,site63,2007,239.5925
8,site63,1997,239.5925
1,site64,2007,227.365
1,site64,2012,227.365
0,site64,2002,227.365
0,site64,2008,227.365
0,site64,2013,227.365
0,site64,2017,227.365
0,site64,2014,227.365
0,site64,2009,227.365
0,site64,2015,227.365
0,site64,2003,227.365
0,site64,2010,227.365
0,site64,2006,227.365
0,site64,2016,227.365
0,site64,2011,227.365
1,site65,2001,244.0825
1,site65,2013,244.0825
2,site65,2011,244.0825
2,site65,2010,244.0825
2,site65,2014,244.0825
3,site65,2012,244.0825
0,site65,2007,244.0825
0,site65,2015,244.0825
2,site65,2006,244.0825
3,site65,2009,244.0825
2,site65,2016,244.0825
1,site65,2017,244.0825
0,site65,2003,244.0825
0,site66,2003,235.46
0,site66,2010,235.46
2,site66,2009,235.46
4,site66,1998,235.46
3,site66,2014,235.46
2,site66,2013,235.46
3,site66,2011,235.46
0,site66,2017,235.46
0,site66,2012,235.46
2,site66,2007,235.46
7,site66,2008,235.46
1,site66,2006,235.46
0,site66,2015,235.46
1,site66,1997,235.46
5,site66,2016,235.46
1,site66,2004,235.46
2,site67,1997,226.3075
0,site67,2012,226.3075
1,site67,2017,226.3075
0,site67,2011,226.3075
1,site67,2009,226.3075
0,site67,1996,226.3075
0,site67,2007,226.3075
0,site67,2002,226.3075
0,site67,2001,226.3075
0,site67,2008,226.3075
0,site67,2016,226.3075
1,site67,2015,226.3075
0,site67,2006,226.3075
0,site67,2010,226.3075
0,site67,2004,226.3075
0,site67,2005,226.3075
0,site67,2013,226.3075
0,site67,2014,226.3075
2,site67,1998,226.3075
0,site68,2016,223.34375
3,site68,2001,223.34375
0,site68,2015,223.34375
2,site68,2011,223.34375
0,site68,2013,223.34375
3,site68,2012,223.34375
1,site68,2002,223.34375
0,site68,1999,223.34375
2,site68,2008,223.34375
2,site68,2003,223.34375
3,site68,2009,223.34375
1,site68,1997,223.34375
3,site68,2017,223.34375
